"hgnc	hallmarks_of_aging"
"MRPL35"	"'impairment of the mitochondrial integrity and biogenesis'"
"SUCLA2"	""
"HSPA2"	"'nuclear DNA instability','impairment of proteins folding and stability'"
"SPATS2L"	""
"DNM1L"	"'impairment of the mitochondrial integrity and biogenesis'"
"WDR12"	""
"GLRX"	"'accumulation of reactive oxygen species'"
"COPS5"	"'transcriptional alterations','degradation of proteolytic systems'"
"FKBP5"	"'impairment of proteins folding and stability'"
"CADM2"	""
"DDX11"	"'nuclear DNA instability'"
"PANK3"	""
"COX7A2"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"SEL1L3"	""
"FAM210A"	""
"TTC4"	""
"STK24"	"'intercellular communication impairment'"
"CYTH1"	""
"RBM39"	""
"STAG2"	"'nuclear DNA instability'"
"AP2B1"	""
"ERBB3"	""
"NNT"	"'accumulation of reactive oxygen species'"
"NKTR"	""
"KDM6B"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','accumulation of reactive oxygen species','sterile inflammation'"
"ATG5"	"'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment','disabled macroautophagy'"
"SOCS3"	""
"LYPLA1"	""
"CXXC1"	"'alterations in histone modifications'"
"GDE1"	""
"AKT3"	"'mitochondrial DNA instability','TOR pathway dysregulation','impairment of the mitochondrial integrity and biogenesis','senescent cells accumulation'"
"NUMA1"	"'nuclear architecture impairment'"
"CPSF7"	""
"RAP1B"	""
"CCNH"	"'transcriptional alterations'"
"UXS1"	""
"GNPTG"	""
"PSRC1"	""
"TLN2"	""
"GNPNAT1"	""
"MAP2K4"	"'senescent cells accumulation'"
"ZBTB8OS"	""
"PRKAG1"	"'AMPK pathway dysregulation','intercellular communication impairment'"
"SGPP1"	""
"ABCE1"	""
"IQGAP1"	""
"NFATC3"	"'transcriptional alterations','sterile inflammation'"
"ADAMTS1"	"'degradation of proteolytic systems'"
"LTBP1"	"'changes in the extracellular matrix structure'"
"VAMP4"	""
"SDC2"	""
"PCNT"	""
"SCPEP1"	"'degradation of proteolytic systems'"
"LAMTOR2"	"'TOR pathway dysregulation'"
"AKT1S1"	"'TOR pathway dysregulation'"
"PRR5L"	"'TOR pathway dysregulation'"
"RPTOR"	"'nuclear DNA instability','TOR pathway dysregulation','intercellular communication impairment'"
"RHOA"	"'transcriptional alterations'"
"EIF4EBP1"	"'TOR pathway dysregulation'"
"MMP20"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"MMP25"	"'degradation of proteolytic systems','sterile inflammation'"
"MMP27"	"'degradation of proteolytic systems'"
"TIMP2"	""
"ACAN"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"SMOC2"	""
"SIRT4"	"'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis'"
"SIRT5"	"'impairment of the mitochondrial integrity and biogenesis'"
"AGER"	"'sterile inflammation'"
"GLO1"	"'transcriptional alterations'"
"NRIP1"	"'transcriptional alterations'"
"TMPRSS2"	"'degradation of proteolytic systems'"
"VHL"	"'transcriptional alterations','degradation of proteolytic systems'"
"WNT10B"	"'transcriptional alterations'"
"WNT9B"	"'stem cell exhaustion','intercellular communication impairment'"
"PAWR"	"'transcriptional alterations','senescent cells accumulation'"
"C9orf85"	""
"JMJD1A"	"'nuclear architecture impairment','alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'"
"DDR1"	""
"ALOX12"	"'accumulation of reactive oxygen species'"
"PTGER2"	"'sterile inflammation'"
"MGAT5"	""
"NR2F2"	"'transcriptional alterations'"
"WFS1"	"'transcriptional alterations','degradation of proteolytic systems'"
"FLJ22555"	"'impairment of the mitochondrial integrity and biogenesis'"
"DKK3"	""
"LAMA3"	"'changes in the extracellular matrix structure'"
"PTPRK"	""
"NOX4"	"'accumulation of reactive oxygen species','sterile inflammation'"
"COA1"	""
"CXCL16"	""
"PDLIM5"	""
"USP10"	"'nuclear DNA instability','degradation of proteolytic systems','disabled macroautophagy'"
"CA3"	""
"CYFIP1"	""
"NHLRC1"	"'degradation of proteolytic systems','disabled macroautophagy'"
"RPL31"	""
"DCHS1"	""
"EIF3M"	""
"BIK"	"'impairment of the mitochondrial integrity and biogenesis'"
"ARHGEF18"	""
"MGP"	"'changes in the extracellular matrix structure'"
"FXN"	"'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"NDUFS5"	"'accumulation of reactive oxygen species'"
"CRADD"	"'nuclear DNA instability'"
"MAPKAP1"	"'TOR pathway dysregulation','intercellular communication impairment'"
"C10orf35"	""
"MBNL1"	""
"BIRC2"	"'degradation of proteolytic systems','sterile inflammation'"
"TIMM17A"	""
"RXRA"	"'transcriptional alterations'"
"ACOX1"	"'accumulation of reactive oxygen species'"
"SLCO3A1"	""
"SLC14A1"	""
"APPBP1"	""
"IL6ST"	""
"ATPAF1"	""
"EPHX2"	""
"FES"	"'intercellular communication impairment'"
"TRIM72"	"'degradation of proteolytic systems','INS/IGF-1 pathway dysregulation'"
"TARDBP"	""
""	""
"KDR"	""
"POU5F1"	"'transcriptional alterations','stem cell exhaustion'"
"EZH2"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation','stem cell exhaustion','intercellular communication impairment'"
"LAMA2"	"'changes in the extracellular matrix structure'"
"LAMA4"	"'changes in the extracellular matrix structure'"
"LAMA5"	"'changes in the extracellular matrix structure'"
"LAMB1"	"'changes in the extracellular matrix structure'"
"LAMB2"	"'changes in the extracellular matrix structure'"
"LAMB3"	"'changes in the extracellular matrix structure'"
"LAMC2"	"'changes in the extracellular matrix structure'"
"ESR2"	"'transcriptional alterations','intercellular communication impairment'"
"ITGA3"	""
"ITGA4"	""
"ITGA6"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation'"
"ITGAE"	""
"ITGAV"	"'INS/IGF-1 pathway dysregulation'"
"ITGB1"	"'stem cell exhaustion','sterile inflammation'"
"ITGB2"	"'sterile inflammation','intercellular communication impairment'"
"ITGB3"	"'INS/IGF-1 pathway dysregulation'"
"HLA-DRB1"	"'sterile inflammation'"
"CXCL9"	"'sterile inflammation','intercellular communication impairment'"
"BPIFB4"	""
"SSTR2"	""
"SSTR5"	""
"SSTR1"	""
"IGFBP5"	"'INS/IGF-1 pathway dysregulation'"
"SOX2"	"'transcriptional alterations','stem cell exhaustion'"
"KLF4"	"'transcriptional alterations','stem cell exhaustion'"
"MC4R"	""
"BHLHE41"	"'transcriptional alterations'"
"FZD7"	"'stem cell exhaustion'"
"HSPB8"	""
"TBKBP1"	"'sterile inflammation'"
"TIAM1"	""
"SH3BP5"	""
"GPRC5B"	""
"CITED4"	""
"CCDC88C"	""
"GYPC"	""
"SERINC3"	""
"PDE4B"	""
"ARHGAP35"	"'intercellular communication impairment'"
"CADM1"	""
"NFATC2"	"'nuclear DNA instability','transcriptional alterations'"
"CD28"	"'transcriptional alterations'"
"DYRK2"	"'nuclear DNA instability'"
"MYO10"	""
"ACVR2A"	"'transcriptional alterations'"
"WNK1"	""
"MR1"	""
"RCOR3"	"'alterations in histone modifications','transcriptional alterations'"
"C7"	""
"CPD"	"'degradation of proteolytic systems'"
"MAP1B"	""
"HDAC9"	"'alterations in histone modifications','transcriptional alterations','sterile inflammation'"
"DYRK1A"	"'alterations in histone modifications'"
"ME1"	"'accumulation of reactive oxygen species'"
"PLCL2"	"'intercellular communication impairment'"
"MTSS1"	""
"HERC3"	"'degradation of proteolytic systems'"
"MAF"	"'transcriptional alterations'"
"SEMA6D"	""
"TPPP"	""
"SLC9A2"	""
"CAMK2A"	"'impairment of the mitochondrial integrity and biogenesis'"
"RBM3"	""
"NF1"	"'intercellular communication impairment'"
"ANXA7"	"'disabled macroautophagy'"
"RBFOX2"	""
"CBFA2T2"	"'transcriptional alterations'"
"TSC22D1"	"'transcriptional alterations'"
"RTN4"	"'nuclear architecture impairment'"
"PAK1"	"'nuclear DNA instability','chromatin remodeling'"
"RLF"	"'alterations in histone modifications','transcriptional alterations','alterations in DNA methylation'"
"PRKACB"	"'AMPK pathway dysregulation'"
"MAT2A"	""
"ADAMTS5"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"TBL1X"	"'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'"
"AKAP9"	"'intercellular communication impairment'"
"FOXN3"	"'transcriptional alterations'"
"UBR5"	"'nuclear DNA instability'"
"MAGED2"	"'transcriptional alterations'"
"TOB1"	""
"DICER1"	"'nuclear DNA instability','transcriptional alterations'"
"SORT1"	""
"NR1D1"	"'transcriptional alterations','degradation of proteolytic systems'"
"FEZ2"	""
"MBOAT1"	""
"CALM3"	""
"CDKN2C"	""
"TRAPPC10"	""
"NCOA2"	"'transcriptional alterations'"
"PIK3CD"	"'sterile inflammation'"
"FBXO21"	"'degradation of proteolytic systems'"
"ADRB2"	"'transcriptional alterations','AMPK pathway dysregulation'"
"RBMS1"	""
"ETS2"	"'transcriptional alterations'"
"LDLR"	""
"LRRFIP1"	"'transcriptional alterations'"
"YY1"	"'nuclear DNA instability','telomere attrition','chromatin remodeling','transcriptional alterations'"
"GPC4"	""
"NEK9"	""
"FBXL4"	"'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'"
"USP13"	"'degradation of proteolytic systems','disabled macroautophagy'"
"LRP4"	""
"ZMIZ2"	"'transcriptional alterations'"
"CERT1"	"'impairment of the mitochondrial integrity and biogenesis'"
"ADD3"	""
"MGST1"	"'accumulation of reactive oxygen species'"
"GNA13"	""
"MAP4"	""
"CACNG1"	""
"ARHGEF5"	""
"TNRC6A"	"'intercellular communication impairment'"
"ZEB2"	"'transcriptional alterations'"
"HNRNPD"	""
"CRY2"	"'nuclear DNA instability','transcriptional alterations'"
"NDEL1"	"'nuclear architecture impairment','INS/IGF-1 pathway dysregulation'"
"RARA"	"'transcriptional alterations'"
"TMEM123"	""
"VWF"	"'changes in the extracellular matrix structure'"
"MTUS1"	""
"ZBTB18"	"'transcriptional alterations'"
"RYK"	""
"NFYB"	"'alterations in histone modifications','transcriptional alterations'"
"KIF1B"	"'intercellular communication impairment'"
"PENK"	"'intercellular communication impairment'"
"NDST1"	"'sterile inflammation'"
"ZFTRAF1"	""
"CTNNBIP1"	""
"DLG1"	"'transcriptional alterations','intercellular communication impairment'"
"CRTC3"	"'transcriptional alterations'"
"SEMA3B"	"'intercellular communication impairment'"
"TSC22D3"	"'transcriptional alterations'"
"USP46"	"'degradation of proteolytic systems'"
"PFKFB1"	""
"SDHB"	"'accumulation of reactive oxygen species'"
"NME2"	"'transcriptional alterations'"
"GRAMD2B"	""
"RSL1D1"	"'senescent cells accumulation'"
"OCRL"	""
"PTGES2"	"'accumulation of reactive oxygen species'"
"OSBPL3"	""
"CTNNA1"	""
"AIDA"	""
"GLE1"	""
"CTH"	""
"AHCYL2"	""
"IDH1"	"'accumulation of reactive oxygen species'"
"CRYAB"	""
"CAST"	""
"RPS21"	""
"FGFR3"	"'intercellular communication impairment'"
"ERGIC3"	""
"ARMCX3"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'"
"TMEM9"	""
"LYVE1"	""
"SH3KBP1"	"'intercellular communication impairment'"
"GLUD1"	"'accumulation of reactive oxygen species'"
"NOS1"	"'transcriptional alterations','accumulation of reactive oxygen species','intercellular communication impairment'"
"SDC4"	""
"MAFF"	"'transcriptional alterations'"
"MCL1"	""
"FGF2"	"'transcriptional alterations','intercellular communication impairment'"
"CD163"	"'sterile inflammation'"
"ABR"	""
"FAM107A"	"'intercellular communication impairment'"
"SLC25A12"	""
"TNNT1"	""
"ADH1A"	"'accumulation of reactive oxygen species'"
"TBC1D1"	""
"ATP2A2"	"'disabled macroautophagy'"
"ITM2A"	""
"TPM3"	""
"MBNL2"	""
"ZFP36"	"'transcriptional alterations','stem cell exhaustion'"
"IP6K3"	""
"DDX3X"	"'nuclear DNA instability','transcriptional alterations'"
"KLF13"	"'transcriptional alterations'"
"RPL3"	""
"NR4A3"	"'transcriptional alterations'"
"GADD45G"	""
"CIRBP"	""
"TMPO"	""
"ARL2BP"	""
"NMB"	"'intercellular communication impairment'"
"RASGRP2"	""
"SLC25A28"	""
"TSPYL2"	"'chromatin remodeling'"
"SIAH1"	"'degradation of proteolytic systems'"
"ECI2"	""
"CXCL14"	"'intercellular communication impairment'"
"KLF6"	"'transcriptional alterations'"
"DNTTIP2"	""
"SFPQ"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'"
"TFDP2"	"'transcriptional alterations'"
"EWSR1"	"'transcriptional alterations'"
"FANCL"	"'nuclear DNA instability'"
"SLC25A27"	""
"CLASRP"	""
"MADD"	""
"SOX13"	"'transcriptional alterations'"
"RPL22"	""
"NPC1"	"'TOR pathway dysregulation','disabled macroautophagy'"
"SGK1"	"'nuclear DNA instability'"
"HSD11B1"	"'accumulation of reactive oxygen species'"
"DHX9"	"'nuclear DNA instability','transcriptional alterations','sterile inflammation'"
"SCAPER"	""
"GGT7"	""
"CLIC4"	""
"CDYL"	""
"ASL"	""
"ELAVL1"	""
"CAV1"	"'transcriptional alterations'"
"G3BP2"	""
"ADK"	""
"AZIN1"	""
"TRIO"	""
"PLCE1"	""
"THY1"	"'intercellular communication impairment'"
"PDK1"	""
"SLC43A2"	""
"FN1"	"'sterile inflammation','changes in the extracellular matrix structure'"
"ARPP21"	""
"PREPL"	"'degradation of proteolytic systems'"
"CDC16"	"'degradation of proteolytic systems'"
"CBX4"	"'transcriptional alterations'"
"NUDT4"	""
"PRNP"	""
"S100A8"	"'sterile inflammation','intercellular communication impairment','disabled macroautophagy'"
"PGPEP1"	"'degradation of proteolytic systems'"
"EFS"	""
"PAQR9"	""
"VGLL4"	""
"RALGAPA1"	""
"WDR6"	""
"CHAD"	""
"GNB5"	""
"BEND3"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'"
"PRKAR1A"	"'transcriptional alterations','AMPK pathway dysregulation'"
"RBL2"	"'transcriptional alterations'"
"ZMAT3"	"'nuclear DNA instability'"
"CKMT2"	""
"ST6GAL1"	""
"UBE2H"	"'degradation of proteolytic systems'"
"LDLRAP1"	""
"MSN"	""
"RASA4"	""
"CDC42EP3"	""
"CXCL12"	""
"ACTG1"	""
"PDE4A"	""
"AFG1L"	"'impairment of the mitochondrial integrity and biogenesis'"
"STOM"	""
"S100A9"	"'sterile inflammation','intercellular communication impairment','disabled macroautophagy'"
"PODXL"	""
"RTN4IP1"	"'accumulation of reactive oxygen species'"
"FADS1"	"'accumulation of reactive oxygen species','intercellular communication impairment'"
"APOB"	""
"STARD13"	""
"GNG11"	""
"PSMD5"	""
"MPC1"	""
"MAN1C1"	""
"ECM2"	""
"PDHA1"	"'accumulation of reactive oxygen species'"
"SYNGR1"	""
"C4B"	""
"VEGFC"	""
"SERPINF1"	""
"AMOTL2"	""
"ECHDC1"	""
"RPS6KA3"	"'transcriptional alterations','intercellular communication impairment'"
"ATOX1"	""
"BACE2"	"'degradation of proteolytic systems'"
"LY6G5C"	""
"ACOT13"	""
"MGST2"	"'accumulation of reactive oxygen species'"
"UBL3"	""
"DAAM1"	""
"EBF1"	"'transcriptional alterations'"
"HTRA1"	"'degradation of proteolytic systems'"
"SLC44A2"	""
"CHCHD4"	"'accumulation of reactive oxygen species'"
"COX7C"	""
"DAAM2"	""
"ANXA1"	"'nuclear DNA instability','sterile inflammation'"
"LSS"	""
"MPZL2"	""
"GRHPR"	"'accumulation of reactive oxygen species'"
"RAD50"	"'nuclear DNA instability','telomere attrition'"
"MRPL30"	"'impairment of the mitochondrial integrity and biogenesis'"
"NUDT12"	""
"ICAM2"	""
"ANXA5"	""
"LPIN1"	"'nuclear architecture impairment','transcriptional alterations'"
"H3-3B"	"'nuclear DNA instability','chromatin remodeling'"
"IL1B"	"'transcriptional alterations','sterile inflammation','intercellular communication impairment'"
"ABCC4"	"'accumulation of reactive oxygen species'"
"CLPX"	"'impairment of proteins folding and stability','degradation of proteolytic systems'"
"PHLDA1"	""
"NAP1L1"	"'chromatin remodeling'"
"SORD"	"'accumulation of reactive oxygen species'"
"TUBB2A"	""
"RAB1A"	"'disabled macroautophagy'"
"GNE"	""
"RBM15"	""
"CAPN2"	"'degradation of proteolytic systems'"
"POLD4"	""
"GSN"	"'changes in the extracellular matrix structure'"
"MID1IP1"	""
"SPTSSA"	""
"BPHL"	""
"ICAM1"	""
"SLC25A19"	""
"HP"	"'degradation of proteolytic systems','sterile inflammation'"
"EIF4G3"	""
"SNTG2"	""
"ATP5MC3"	""
"ARHGEF9"	""
"MIPEP"	"'degradation of proteolytic systems'"
"CALD1"	""
"TBX3"	"'transcriptional alterations','senescent cells accumulation','stem cell exhaustion'"
"PDE9A"	""
"MTFP1"	"'impairment of the mitochondrial integrity and biogenesis'"
"CD2AP"	"'degradation of proteolytic systems'"
"PGK1"	"'degradation of proteolytic systems','accumulation of reactive oxygen species'"
"EIF4A1"	""
"EEF2K"	""
"ELOVL5"	""
"CHRNA7"	"'intercellular communication impairment'"
"MRPS5"	"'impairment of the mitochondrial integrity and biogenesis'"
"ADRA1A"	"'intercellular communication impairment'"
"ADRA1B"	"'intercellular communication impairment'"
"AKT2"	"'INS/IGF-1 pathway dysregulation'"
"CASP2"	"'nuclear DNA instability','degradation of proteolytic systems'"
"CDC14B"	"'nuclear DNA instability'"
"DMD"	""
"NOTCH3"	"'transcriptional alterations'"
"HTR1B"	"'intercellular communication impairment'"
"VCL"	""
"PDE4D"	""
"TXNRD1"	"'accumulation of reactive oxygen species'"
"SMAD2"	"'transcriptional alterations'"
"SMAD3"	"'transcriptional alterations'"
"GGH"	""
"MSH2"	"'nuclear DNA instability'"
"SURF1"	"'accumulation of reactive oxygen species'"
"TOPORS"	"'nuclear DNA instability','transcriptional alterations','degradation of proteolytic systems'"
"RPS6KB1"	"'TOR pathway dysregulation'"
"PRKAR2B"	"'AMPK pathway dysregulation'"
"GDF15"	"'intercellular communication impairment'"
"RBM38"	""
"MSTN"	""
"SIGLEC12"	""
"G6PD"	"'accumulation of reactive oxygen species'"
"MTBP"	""
"GMFB"	""
"PER2"	"'alterations in histone modifications','transcriptional alterations'"
"SOD3"	"'accumulation of reactive oxygen species'"
"CDKN2B-AS1"	""
"TELO2"	"'nuclear DNA instability','telomere attrition','TOR pathway dysregulation'"
"FST"	"'transcriptional alterations'"
"MAPK10"	"'senescent cells accumulation'"
"NOTCH1"	"'transcriptional alterations','stem cell exhaustion','sterile inflammation'"
"NOTCH2"	"'transcriptional alterations','sterile inflammation'"
"TH"	"'accumulation of reactive oxygen species','intercellular communication impairment'"
"TIRAP"	"'sterile inflammation'"
"HNF4A"	"'transcriptional alterations'"
"IL1RN"	"'sterile inflammation'"
"MAP3K9"	""
"TNKS2"	""
"TEP1"	"'nuclear DNA instability','telomere attrition'"
"MIR3156-3"	""
"AKR1C2"	"'accumulation of reactive oxygen species'"
"FAM13A"	""
"BEND4"	""
"EPHA6"	""
"ZFYVE28"	""
"ASIC2"	"'intercellular communication impairment'"
"OLFM4"	""
"CYP1B1"	"'accumulation of reactive oxygen species'"
"XRCC1"	"'nuclear DNA instability','telomere attrition'"
"MRE11"	"'nuclear DNA instability','telomere attrition'"
"AOX1"	"'accumulation of reactive oxygen species'"
"RAD23B"	"'nuclear DNA instability','degradation of proteolytic systems'"
"PRDX3"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"IDE"	"'degradation of proteolytic systems','INS/IGF-1 pathway dysregulation'"
"EXO1"	"'nuclear DNA instability'"
"GHSR"	"'INS/IGF-1 pathway dysregulation'"
"LONP1"	"'mitochondrial DNA instability','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'"
"PARK7"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','sterile inflammation','disabled macroautophagy'"
"CYP19A1"	"'accumulation of reactive oxygen species'"
"KCNA5"	""
"CSMD1"	""
"IMPG1"	"'changes in the extracellular matrix structure'"
"PKHD1"	"'TOR pathway dysregulation'"
"SYDE2"	""
"BRD1"	"'alterations in histone modifications','transcriptional alterations'"
"SLC39A11"	""
"STK10"	""
"ZFP69B"	"'transcriptional alterations'"
"PGGT1B"	""
"FSTL5"	""
"NOTCH4"	"'transcriptional alterations'"
"CYP1B1-AS1"	""
"LNPK"	""
"FRK"	"'transcriptional alterations'"
"DRD2"	"'transcriptional alterations','intercellular communication impairment','disabled macroautophagy'"
"SLC6A3"	""
"TOMM40"	"'impairment of the mitochondrial integrity and biogenesis'"
"BTNL2"	""
"TNFSF8"	"'transcriptional alterations','intercellular communication impairment'"
"C2"	"'degradation of proteolytic systems'"
"CFB"	"'degradation of proteolytic systems'"
"VASH1"	"'degradation of proteolytic systems','senescent cells accumulation'"
"AIF1"	"'sterile inflammation','intercellular communication impairment'"
"LRP1B"	""
"DZIP3"	""
"RAD51B"	"'nuclear DNA instability'"
"KIF13B"	""
"KLRF1"	""
"ELL2"	"'transcriptional alterations'"
"TOX"	"'transcriptional alterations'"
"SLC4A4"	""
"WWOX"	"'transcriptional alterations','accumulation of reactive oxygen species'"
"BTBD9"	""
"HPCAL1"	""
"CLSTN2"	""
"PPP1R26"	""
"CDH4"	""
"NLRC5"	"'transcriptional alterations'"
"PARVG"	""
"RUNX3"	"'transcriptional alterations'"
"CARS1"	""
"PPP2R2C"	""
"TAFA5"	""
"RAC2"	""
"CACNA1C"	"'intercellular communication impairment'"
"TGFA"	""
"SVEP1"	""
"NCAM2"	""
"IGFBP4"	"'INS/IGF-1 pathway dysregulation','sterile inflammation'"
"IGFBP6"	"'INS/IGF-1 pathway dysregulation'"
"GRIK2"	"'intercellular communication impairment'"
"RGS7"	""
"SOX6"	"'transcriptional alterations'"
"PFKM"	"'transcriptional alterations'"
"LIMCH1"	""
"MACF1"	""
"PDE4DIP"	""
"TXNIP"	"'transcriptional alterations'"
"PRPF3"	""
"SLC27A3"	""
"PYHIN1"	""
"GPR137B"	"'TOR pathway dysregulation','disabled macroautophagy'"
"HADHA"	"'accumulation of reactive oxygen species'"
"EML4"	""
"NRXN1"	""
"SPTBN1"	""
"AHSA2P"	""
"KLF7"	"'transcriptional alterations'"
"IL17RC"	"'sterile inflammation'"
"ATP2B2"	""
"NR2C2"	"'transcriptional alterations'"
"RAB5A"	""
"GOLGA4"	""
"SCN10A"	""
"FLNB"	""
"MBD4"	"'nuclear DNA instability'"
"NCK1"	"'transcriptional alterations'"
"SKIL"	"'transcriptional alterations'"
"ZNF141"	"'transcriptional alterations'"
"DHX15"	""
"TLR1"	"'sterile inflammation'"
"CXCL2"	"'sterile inflammation'"
"HERC6"	"'degradation of proteolytic systems'"
"MTTP"	""
"ERAP2"	"'degradation of proteolytic systems'"
"PAM"	"'transcriptional alterations','accumulation of reactive oxygen species'"
"ATG12"	"'impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'"
"PPIC"	""
"ARAP3"	""
"NUP153"	"'nuclear architecture impairment'"
"TRIM38"	"'degradation of proteolytic systems'"
"HLA-DRB5"	""
"HSP90AB1"	"'nuclear DNA instability','telomere attrition','impairment of proteins folding and stability'"
"LPA"	"'degradation of proteolytic systems'"
"AGFG2"	""
"RELN"	"'degradation of proteolytic systems','TOR pathway dysregulation'"
"COG5"	""
"MRPS28"	"'impairment of the mitochondrial integrity and biogenesis'"
"CPNE3"	""
"INVS"	""
"POMT1"	""
"GDI2"	""
"SUPV3L1"	"'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis'"
"GRK5"	""
"RRM1"	"'mitochondrial DNA instability','nuclear DNA instability','accumulation of reactive oxygen species'"
"TAF6L"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','degradation of proteolytic systems'"
"STX5"	""
"PITPNM1"	""
"ZBTB44"	""
"ETV6"	"'transcriptional alterations'"
"GCN1"	"'intercellular communication impairment'"
"EP400"	"'nuclear DNA instability','alterations in histone modifications','chromatin remodeling'"
"SACS"	""
"GPC5"	""
"ZBTB25"	"'transcriptional alterations'"
"ACTN1"	""
"SLC12A6"	"'intercellular communication impairment'"
"FURIN"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"CHTF18"	"'nuclear DNA instability'"
"TBL3"	""
"SRRM2"	""
"ZNF267"	"'transcriptional alterations'"
"AARS1"	""
"ZFHX3"	"'transcriptional alterations'"
"TAX1BP3"	"'degradation of proteolytic systems'"
"USP6"	"'degradation of proteolytic systems'"
"RABEP1"	""
"PCGF2"	"'alterations in histone modifications','transcriptional alterations'"
"ABCA8"	""
"ABCA5"	""
"FDXR"	"'accumulation of reactive oxygen species'"
"YES1"	"'transcriptional alterations'"
"MC2R"	""
"WDR87"	""
"FCGBP"	""
"CYP2A6"	"'accumulation of reactive oxygen species'"
"ZNF226"	"'transcriptional alterations'"
"ZNF415"	"'transcriptional alterations'"
"NOP56"	""
"PHF20"	"'alterations in histone modifications','transcriptional alterations'"
"SON"	""
"RRP1B"	"'transcriptional alterations'"
"SUMO3"	""
"PRR5"	"'TOR pathway dysregulation','intercellular communication impairment'"
"IGBP1"	"'transcriptional alterations'"
"ATP1B4"	""
"ARHGEF6"	""
"RBMX"	"'transcriptional alterations','degradation of proteolytic systems'"
"SH2B3"	"'stem cell exhaustion'"
"ABO"	""
"HYKK"	""
"CELSR2"	""
"CHRNA5"	"'intercellular communication impairment'"
"ATXN2"	""
"PROX2"	"'transcriptional alterations'"
"CHRNA3"	"'intercellular communication impairment'"
"ZW10"	"'nuclear DNA instability'"
"EXOC3L2"	""
"CHRNA4"	"'nuclear DNA instability','intercellular communication impairment'"
"USP42"	"'degradation of proteolytic systems'"
"TMTC2"	""
"MAGI3"	""
"KCNK3"	"'intercellular communication impairment'"
"HLA-DQA1"	""
"TMEM18"	""
"POM121C"	""
"ZC3HC1"	""
"BCL3"	"'nuclear DNA instability','transcriptional alterations','sterile inflammation'"
"RNASE1"	""
"CCN5"	"'intercellular communication impairment'"
"SPON1"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"DSC2"	"'intercellular communication impairment'"
"HLA-DPB1"	""
"TNFSF14"	""
"HERC4"	"'degradation of proteolytic systems'"
"ECE1"	"'degradation of proteolytic systems'"
"CD27"	""
"ARFIP1"	""
"SLAMF7"	""
"SLPI"	""
"MRC1"	""
"NELL2"	""
"VEGFD"	""
"TLR4"	"'transcriptional alterations','sterile inflammation'"
"DSC1"	""
"ITPKA"	""
"SERPINA4"	""
"PITPNB"	"'nuclear architecture impairment'"
"SRSF6"	""
"CD55"	""
"BAMBI"	""
"DDX23"	"'chromatin remodeling'"
"ASCC1"	"'nuclear DNA instability'"
"ARHGEF7"	""
"DUSP6"	""
"TNFRSF21"	""
"IL18"	"'transcriptional alterations','sterile inflammation','intercellular communication impairment'"
"CD59"	""
"DUT"	""
"HLA-DMA"	""
"NAPB"	"'intercellular communication impairment'"
"YWHAB"	""
"ST6GALNAC2"	""
"HNRNPM"	""
"IFI16"	"'transcriptional alterations','degradation of proteolytic systems','sterile inflammation','intercellular communication impairment','disabled macroautophagy'"
"SPHK2"	"'alterations in histone modifications','chromatin remodeling'"
"C1S"	"'degradation of proteolytic systems'"
"TBCA"	""
"APBB3"	""
"FCMR"	""
"AGT"	"'intercellular communication impairment'"
"CRIM1"	"'INS/IGF-1 pathway dysregulation'"
"B4GALT1"	"'sterile inflammation'"
"AK2"	""
"MGAT4A"	""
"H1-10"	"'nuclear DNA instability','chromatin remodeling'"
"NECTIN3"	""
"GHRL"	""
"RPN1"	""
"CBS"	"'nuclear DNA instability','accumulation of reactive oxygen species','intercellular communication impairment'"
"ITM2B"	""
"HNRNPK"	"'transcriptional alterations'"
